system:time_start,sumArea
"Dec 1, 2015",
"Dec 1, 2016","94,777.473"
"Jan 1, 2017","102,356.686"
"Feb 1, 2017","70,935.924"
"Oct 1, 2017","91,907.66"
"Nov 1, 2017","80,133.956"
"Dec 1, 2017","77,264.106"
"Jan 1, 2018","85,947.222"
"Feb 1, 2018","99,560.499"
"Mar 1, 2018","86,830.222"
"Oct 1, 2018","80,796.245"
"Nov 1, 2018","101,915.216"
"Jan 1, 2019","87,860.373"
"Feb 1, 2019","86,977.453"
"Mar 1, 2019","85,652.846"
"Jan 1, 2020","89,847.281"
"Feb 1, 2020","94,115.264"
"Mar 1, 2020","91,907.617"
